"Story","Title","Result","Date","Stability","Duration (s)"
"I as a Utest user","Verify a successful registration in Utest","ERROR","2022-04-13T10:28:11.589-05:00[America/Bogota]","0.0","10.61"
"I as a Utest user","Verify a successful registration in Utest","SUCCESS","2022-04-20T12:29:14.409-05:00[America/Bogota]","0.0","39.18"
